№,Качество
124," Лидерство. Способность вдохновлять и заряжать, мобилизовывать "
124,Директивность 
125," Позиция ""вместе"". Локомотив, который тащит. Не говорит, что знает ""как"", нам бы тут приехать, давайте вместе думать, как там оказаться"
125,"Позиция ""сверху"". ""Иди делай, сам разберись, тебя же для этого и нанимали"" "
126," Видение будущего мира как цифрового. Понимание, как это привнести в ту или иную индустрию, что это улучшит. Цифровизация - неизбежность."
126,"Не видит, как цифровые технологии могут улучшить бизнес, видит риски, что может поломаться уже работающая система, но не видит явных преимуществ. Полны рисков, сомнений и непонимания. Боятся изменить то, что и так уже хорошо работает. "
127," Лидер, который постоянно обучается. Цифровизация – это непрерывное обучение. Способность обучаться. Должно быть понимание, что тебе всегда не хватает знаний. "
127,"Лидер, который все знает, знает как устроен мир. Достаточность фундаментального образования.  "
128," Вера в электричество. Не боятся и верят, что электричество будет всегда. Мир цифровой. "
128,"Организаторы аналоговых процессов. Уверены, что выживут и без электричества. Ценность выстраивания процессов так,  чтобы они выживали без электричества.  "
129," Расторможенность. Готовы с головой бездумно бросаться на инновации, делать, бежать, зарабатывать, долго не думают перед тем как действовать. Оппортунисты, используют возможности. Левая часть кривой Роджерса."
129,"Заторможенность. Долго думают, сомневаются, критично оценивают себя и идеи, настороженно относятся к инновациям, видят риски. Правая кривой Роджерса.  "
130," Есть свое уникальное видение и есть смелость воплощать это видение в жизнь, несмотря на мнение общественности."
130,"Оглядка на рынок, что подумают и скажут люди, так не принято.  "
131," Установка: ""цифровой мир безопасен. А там где не безопасен, я знаю как обезопасить."""
131,"Установка: ""цифровой мир не безопасен, поэтому я в него не пойду."" "
132," Все равно как общаться, готовы общаться как угодно (онлайн или оффлайн) в любых условиях, самолете, баре и пр."
132,"Есть потребность в физическом общении, личном контакте. Общение только в очном формате, классические бизнес-встречи, общение тет-а-тет.  "
133, Agile: попробовали-проанализировали. Динамическое построение бизнеса. Готовы гибко подстраивается под рынок и его меняющиеся потребности. 
133,"Полное отсутствие agile подхода в классическом бизнесе. Консервативный подход к построению бизнес-процессов. Не умеют гибко перестраиваться, не принимают инновации, делают по-старому.  "
134," Любознательность. Стремление к познанию нового. Болезненная и непрекращающаяся тяга к новым знаниям. Каждый раз это область знания, которую ты до этого не изучал никогда. Постоянное расширение познания из самых разных сфер. Новые увлечения, новые рынки, новые знания, новые гипотезы. "
134,"Изучают только то, что непосредственно связано с текущим бизнесом. Идут в новые области знаний, только если экспертное профессиональное сообщество рекомендует идти в конкретную область, когда нет выбора.  "
135," Воображение. Визуализация процессов, так как цифра материализует виртуальный мир. Фаундер, чтобы построить бизнес он визуализирует весь процесс от создания бэкенда и фронтенда до логистики, он умеет увидеть целую картину, а потом раздать сотрудникам части этого для исполнения. Видят онлайн и оффлайн как единое пространство. "
135,"Видят меньшую часть бизнеса, не могут вообразить себе нематериальную часть, визуализировать ее. Смотрят на IT-составляющую как отдельный сегмент бизнеса, ""прицеп"". Видят оффлайн и онлайн как два пространства, как-то взаимодействующие друг с другом.  "
136," Более четкий подход. При построении бизнеса в виртуальном пространстве, нужно четко, понятно, доступно поставить задачу. Формулировка задач в письменном виде, всегда можно уточнить формулировку, и рамки постановки задач, что делает постановку задач более правильно и конкретной. Письменный follow-up по любой договорённости. "
136,"Классический бизнес постановка задач сводится к устным разговорам. Чёткость в устной постановке задачи верна на 60%. С вероятностью на 60% она будет выполнена так, как задумывал руководитель.  "
137," Созидание. Стремятся сделать счастливыми большое количество людей через удовлетворение их запросов и потребностей. Воодушевление и вера в свой продукт, зарабатывание денег не самоцель.  "
137,Зарабатывание денег. Зацикливается на PNL 
138," Отношение к кризису – ""время возможностей"""
138,"Отношение к кризису – ""все плохо, все пропало"" "
139," Способность анализировать большое количество информации: куда двигается цифра (сфера расползается очень широко). Постоянная обучаемость, открытость новому. (Чтобы не создавать за свои деньги либо уже существующее, либо мертворожденное)"
139,"Гиперсистемность. Процедура важнее результата. Интерес к тому, что уже есть в существующем бизнесе. Глубокое знание существующих механизмов работы системы в компании. Ориентация на ключевые показатели, расставленные в процессе. "
140," Инженерная, технологическая грамотность. Умение формулировать ТЗ. Четко понимать, чем
одна технология отличается от другой. Какие основы лежат за той или иной
технологией."
140,"Полная лояльность, клановость, семейность. Ориентация на эмоции, отношения, доверие. Для того чтобы разбираться в технологиях нанимаются специальные ""люди в очках"". "
141,Проверка гипотез. Это стоит денег и требует времени. Готовность к отрицательному результату. Активная генерация самых разных гипотез.
141,"Подстраивать гипотезу под желаемое. Выбирать гипотезу, которая сулит карьерный рост. Хайпануть на гипотезе. Популизм при формулировании гипотез и нежелание проверять ""неприятные"" (с этой гипотезой к начальнику даже не подходи)."
142,Целеполагание под существующую нишу и потенциально доращиваемую до эффективного решения технологию. Открытая рамка с четко заданным видением продукта.
142,Целеполагание по итогам анализа рынка прошлого периода с утверждением четкого коридора целевых значений.
143," Хирш, соцсети, публичные технологизированные рейтинги, конференции, прямая "
143,"Деньги любят тишину. В сети раскручивается бренд, а не конкретный человек, личность. СМИ-стратегии пиара. Инфоповоды. "
144," Деликатность, забота об интересах конечного пользователя на фоне понимания необходимости подстраиваться под интересы регуляторов. Репутация, уверенность потребителя в том, что система работает в их интересах, а не использует пользователей для своих целей. (При этом сбор данных гуглом ок, т.к. данные деперсонализированы, и это часть бизнеса). Решать задачи не в ущерб персональному пользователю. Работа в интересах конечного пользователя, а не государства."
144,"Деньги не пахнут. Все, что в интересах бизнеса, полезно.  Торговля на фоне напряженных отношений. Снабжение солдат Вермахта как яркий пример. Потребитель важен как тот, кто голосует рублем. "
145," Не бояться рисковать. Готовность потратить время, деньги и репутацию на то, во что веришь."
145,"Недопустимость рисков, поскольку они повлекут за собой нарушение стабильного поступательного движения и процесса выработки эффективных стратегий, обрастания связями и т.п. "
146," Формирование большого количества коммуникаций, которые позволяют видеть тренды, новости, обогащаться знаниями."
146,"Интроверсия, закрытость, оберегание себя и бизнеса от незнакомцев. Свои кружки, сокращение коммуникаций до узкого круга с критерием полезности и безопасности. "
147," Безусловные авторитеты, пионеры в проектах, за которые берутся. Если такой человек анонсирует проект, все понимают, что это будет что-то новое, революционное, заслуживающее внимания."
147,"Ассоциируется с классическим продуктом. Но в его рамках могут возникать новые характеристики, которые выводят продукт в новую нишу, формируют новое качество потребления. Интерпретация и новая глубина. "
148," Технологии как смысл жизни. Погруженность в цифровой рынок, отслеживание технологических трендов во всех проявлениях (гаджеты, языки, законодательство, влияние технологий на мир). Не имеет значения, нравится ли гаджет, но он новый и значит нужен."
148,"Технологии как инструмент. Изучение прикладных инструментов решения задач с помощью технологий. Внимание к практичным решениям, нет одержимости технологиями. "
149,  Тотальное уважение к людям. Работаешь с людьми как с равными себе. Умеют слушать и слушаться сотрудников любого уровня. Ставишь задачу непосредственно исполнителю.
149,"Жесткая субординация. Не принимает информации от сотрудника, который ниже тебя хотя бы на 2 ступеньки. Ты можешь поставить задачу только руководителю ниже себя. Требуются согласования от компетентных подразделений. "
150," Результат важнее инструкции/процесса. Умение строить процессы так,, чтобы выдавать результат с наименьшим количеством касаний и наибольшей автоматизацией. Чем прямее, тем лучше. Если нужна ручка, иди напрямую к кладовщику. У исполнителей д.б. возможность принимать решения в рамках полномочий."
150,"Выстраивание процессов на основе согласований. На каждой точке процесса есть исполнитель и тот, кто подтверждает обоснованность требуемого действия. "
151," Доверие команде, людям. Уметь тотально доверять. Ты не можешь проверить код за разработчиками) Нет шансов выстроить контрольные точки.Исполнитель несет ответственность и по умолчанию за ним не смотрит еще один чел."
151,"Выстроенные точки управленческого контроля. Регламентное управление. Исполнитель делает работу, руководитель проверяет и его еще раз проверяют. "
152," Свобода личности, демократические инструменты управления. Давать возможность людям быть самими собой. Свобода слова, вероисповедания, гендера. Умение выстраивать такую среду. Прав умный."
152,"Царизм, авторитарный стиль управления (и подчинения). Как я сказал, так и правильно. Власть сильного, а не умного.  Как начальник скажет, так и будет. Ты - начальник, я дурак. "
153," Я и ты уникальны, и это круто. Запаренность на корпоративной культуре и наличии смыслов, размышлений, рефлексии ценностей, развивающейся снизу идеологии. Социальный смысл бизнеса. Инклюзивность, дайверсити. Собирать очень разных людей и объединять, играть на разности потенциалов. Свобода поведения человека. Не мы нанимаем, а нас выбрали у нас поработать."
153,"Единые стандарты поведения, мышления, проявлений. Унификация сознания. Я такой же, как и ты, ты такой же, как и я. Ориентация на простые ответы про людей. Прогноз поведения сотрудников. "
154," Скорость принятия и реализации решений в условиях неопределенности.  Навыки делегирования.Определенности никогда не было и до пандемии. Быстро приняли решение, а потом его обеспечиваем инфраструктурой. Решения принимаются не навсегда. Итерационность. Если что откатимся назад. Внимание к обратной связи от людей."
154,"Долгое взвешивание и согласование решений. Решения принимаются ""навсегда"", ""полностью продуманное"". Попытка продумать за людей. Нет готовности отменить решение. Очень сложно откатить назад. "
155," Умение ""продавать"" идеи, задачи, миссию. Работа с возражениями, отработка аргументов,... рассмотрение собственных сотрудников как клиентов.Формулировка должна рождать поле для дискуссии, разные отклики и интерпретации. Важно провоцировать дискуссии как источник обратной связи."
155,"Умение приказывать. Навык быть директивным. Четкие формулировки. Ответственность за сказанное. Внимательность к формулировкам, чтобы не было двусмысленности. Важно не спровоцировать дискуссии, т.к. это может быть в буквальном смысле опасно. "
156," Тотальная вера в идею, которую реализуешь. То, что ты делаешь - на уровне религии. Поэтому просто объяснять и поэтому за тобой идут люди. Не все равно, чем управлять."
156,"Вера в инструменты (управления, бизнеса). Мне все равно, чем управлять. Вера то, что управленческий инструментарий одинаков в любой сфере. "
157," Нарушение/развитие канонов. Изобретение велосипедов/космических ракет (экономических моделей, клиентского сервиса и т.п.). Создание нового, стремление минимизировать шаблоны. Мы не такие как все. Все используют, значит нам не надо."
157,"Стереотипное, шаблонное мышление. Шаблонов может быть много, но они шаблоны. Нетерпимость к дилетантству и экспериментам. Каноническое мышление. Если все так делают, то и мне надо. "
158," Упрощение любых моделей процессов до максимально применимых. Упрощение оценки, принятия бюджета и т.п. до минимально необходимой для принятия решений. Постоянная оптимизация. Сравнимо с компактными моделями бизнес-школ. Главное - чтобы было понятно. Простая модель может работать сама, но всегда подразумевает коммуникацию."
158,"Чем более витиеватая модель, чем больше в ней подтверждающих вывод переменных, тем лучше. Громоздкость, нужны несколько доказательств одного и того же. Много и непонятно. Хочется получить ответы на все вопросы без коммуникации и на основе готовой сложной модели. "
159," Умение видеть картинку вне цифрового мира. Кругозор. Умение дезинтегрировать целостную картинку на конечный набор факторов и построить из них что-то новое, что будет адекватно внешнему миру."
159,"Размытая картина мира, где нет деталей, но есть особая чувствительность. (Мир близорукого человека без очков: вижу, что что-то происходит, но не очень понятно, что именно) "
160," Какая-то часть жизни связана с интересом к цифровым инструментам, прикольно что-то цифровое протестировать на себе"
160,Нет интереса к цифровым инструментам 
161," Конкретность, ""бесконечное количество раз задавать вопрос ""чтобы что?"". Конкретная коммуникация, конкретное целеполагание. Умеют договориться о конкретном результате. Умение операционализировать показатели, выражать их в цифрах."
161,Умеет нарисовать большую картинку абстрактными методами. Широкие критерии. 
162," Эволюционировать вместе с продуктом и наращивать новые C-ролей. Понимание того, что является продуктом. Понимание того, для чего ты работаешь. Эволюция продукта с расширением карты стейкхолдеров. Смотреть на один шаг дальше, видеть больший контекст и использовать это видение для развития. Брать на себя новые роли."
162,"Ответственность за вверенный участок, ориентация на то, что уже умеешь хорошо делать. "
163," Виденье, широта кругозора, holistic view, многоаспектное видение ситуации, исходить не только из KPI, но и из далекой цели"
163,"Ограниченность, ориентация на тактические задачи "
164," Вижу цель, не вижу препятствий"
164,"Сам себя ограничивает блокерами, фиксируется на помехах "
165, Ставит и отслеживает задачи от и до
165,Делегирует 
166, Хорошо коммуницируют One to few
166,Хорошо коммуницируют One to many 
167," Замалчивает обратную связь, с трудом дает ОС в глаза"
167,Открыто дает обратную связь 
168," Лидер-одиночка: привык полагаться на себя, на новом месте работают с новыми людьми. Не оказывают никому максимальное доверие"
168,"Командный лидер: сплачивает вокруг себя команду единомышленников, управляет ей. Движется по карьерной лестнице со своей командой.  Не видит себя вне команды "
169," Стремление узнать что-то новое извне и использовать в своей сфере, обогащение экспертизы"
169,"Максимальное изучение текущего, своих задач, углубление экспертизы "
170," Не используют инструменты нетворкинга. Не любят социальной стороны жизни. Считают себя профессионалами и так, не нуждающимися в социализации"
170,"Социальность как задача: создают и монетизируют связи через соцсети, тусовки, выступления. Важно быть в круге единомышленников и этим пользоваться "
171," Embrace of novelty: открытость к эксперименту, не боязнь инновации, "
171,"Традиционность, консерватизм "
172, Виденье: clear focus on the future despite of obstacles and clarity on actions to achieve the future status
172,Нежелание менять статус-кво 
173," Бутиковость (маленький масштаб, personal comfort in the center)"
173,"Амбиции делать что-то революционное, идти против шерсти, turn around "
174," Установка на отработку гипотезы ""Скорость решений, быстрые результаты без страха ошибки"""
174,"Установка без права на ошибку ""Лучше делать так, чтобы не ошибаться (а это требует времени)"" "
175," Открытость к оценке, калибровка себя, оценка как путь к успеху"
175,"Боязнь узнать о себе настоящем, уязвимость к оценочным инструментам "
176," Учиться самим у лучших и внедрять лучшие практики, life-long learning, networking, effective communication"
176,"Живущий внутри своей моносистемы, застрявший в одном направлении "
177, Вера в вероятностные технологии
177,"Цинизм, вызванный опытом,  обесценивание технологий, основанных на вероятностном прогнозировании и данных "
178, Сотрудничество с данными (cooperation with the big data analysis)
178,"Конкуренция с данными, противопоставление себя данным "
179," Доступность, искренняя открытость, присутствие в соцсетях как активный инструмент коммуникации (лично пишет, выступает, отвечает). "
179,"Формальность, закрытость в общении, ""встречи по записи"" "
180, Высокая learning agility
180,Низкая learning agility 
181," Видят возможные решения, которые повлияют на изменения текущих процессов, на смотря на сложности внедрения и непопулярность, принесут улучшения. "
181,"Ориентируются на выполнение процессов ""по старинке"", не замечают новых возможностей.  "
182," Умеют слышать предложения других по внедрению чего-то нового, спокойно к этому относятся, открыты к диалогу и аргументам. "
182,"Изначальное враждебное отношение к идеям, будут искать недостатки в идеях других,  эмоционально спорить и находить пути отказа от этих идей. "
183," Когда работают с данными и бенчмарками сфокусированы на информации которая challenge their views. Пытаются открыть для себя что-то новое, измениться. В информации, которая противоречит их установкам видят возможности. "
183,"В данных или бенчмарках сфокусированы на поиске подтверждения. того, что ""у нас все хорошо"" или ""мы выбрали правильную стратегию"". Анализируют через призму - ""подтвердить статус кво"". "
184," Легче идет на риск, быстрее готов инвестировать, даже если отдача не совсем предсказуема. (В цифровом бизнесе больше рисков)"
184,"Важна безопасность, стабильность, следование правилам.  "
185," Гибко реагирует на изменения среды, установки не ""диктуют"" решения."
185,"Работает по своим ""шаблонам"", установкам, трудно меняет свои установки, когда они перестают соответствовать среде. (adaptability). Не могут осознать, что установка устарела "
186, Одинаково общаются с разными уровнями сотрудников. Не обращают внимания на иерархию. Открыты к неформальному общению со всеми.
186,"Выстраивание взаимодействия в зависимости от иерархии бизнеса. Если ты ниже по иерархии, нужно официально встречу поставить. Общение очень формальное, по протоколу, сухо и официозно. "
187," Видят гораздо дальше, чем традиционный бизнес.  Видение, идеи могут выглядеть безумно и футуристично, но они потом срабатывают. Трендсеттер"
187,"Короткий горизонт видения, более традиционное, в рамках текущих трендов.  "
188," Способность не просто говорить об изменениях, но и проводить их в жизнь, понимать как эти изменения  трансформируются в корпоративную отчетность"
188,"Непонимание как цифровая трансформация может улучшить бизнес показатели, отсутствие опыта таких трансформаций, отсутствие запроса и понимания как это может повлиять на изменения бизнеса к лучшему "
189," Клиентоцентричность. Персонификация контакта с клиентами, накопление больших данных. формулирование профиля клиента, и возможность выстраиваться более качественную коммуникацию. Все это стало возможным благодаря цифровой трансформации."
189,"Ориентация на бухгалтерию и документооборот. Замыкаются внутри своей бизнесовой скорлупки, не понимают, что хочет их клиент, не анализируют клиента. Бизнесов близорукость, анализ происходит на уровне бухучета  "
190," Отсутствие шор, открытость к новому. ""Вижу цель, не вижу препятствий"", ориентация на результат, драйв. "
190,"Усталость, неверие, отсутствие успешного опыта. Если ни разу руками успех не делал, ты будешь идти в темной комнате с небольшим фонариком. Выученная беспомощность.  "
191," Системность. Укладывают в структуру, календари, процессы, распределение задач по команде, и последовательное отслеживание результата, применение правильных инструментов управления. "
191,"Управление по наитию, без четкого понимания инструментария, не зацикливаясь, кто будет исполнять, как, и какой результат это принесет "
192," Цифровая структурность: умеют от идеи перейти к четкому пониманию продукта, умеют операционализировать идеи: сколько времени уйдет на кодинг, какая архитектура, понимают, какие современные инструменты есть для воплощения идеи. "
192,"Мечтатели, генераторы идей "
193," Важно собрать и удерживать правильную команду, с необходимыми навыками, люди с духом предпринимательства, которые готовы брать на себя ответственность. Быть в постоянном контакте с ними, обучать, умение вдохновлять, ставить интересные задачи, заботиться о команде, отсеивать дурных овец. "
193,"Относится к людям как ресурсу, ""ты уйдешь, другого наймем"".  "
194," Налаживают систему, которая позволяет быть команде в том числе совете директоров все время в курсе новых цифровых технологий и формировать из этого инициативы. Лидерство, просветительство, технологическая повестка. "
194,"Функционеры. Низкая готовность внедрять новые прорывные технологии. Важно внедрять только те технологии, которые зарекомендовали себя на рынке. Стратегия избегания рисков.  "
195," Системность мышления. Взгляд на картинку целиком, строит причинно-следственные связи, работает с причиной, а не следствием."
195,"Смотрит не дальше своего носа. Слишком локальные решения. Только здесь и сейчас. Тушит только локальные пожары, не смотрит в суть проблемы, не решает ее системно.  "
196,"  Скорость принятия решения: умеет быстро думать, даже говорить, как индикатор быстроты мышления. Умеет взвесить все факторы, влияющие на ситуацию, готов взять ответственность и принять решение. "
196,"Неумение увидеть все влияющие факторы на ситуацию, взвесить эти факторы, и взять ответственность на принятие решение, и оперативное его принять.  "
197, Понимание всего цикла разработки цифрового продукта. 
197,"Разрозненные знания в понимании, как рождается и запускается продукт. Знания там, знания сям, но не системные "
198," Умение разговаривать с цифровыми людьми, понимание ментальности IT-людей и умение общаться с ними на одном языке. Понимание их мотивации (""продать"" идею человеку, чтобы он пришел, и чтобы не уходил)"
198,Отсутствие индивидуального подхода к сотрудникам с техническим мышлением 
199," Умение смотреть на рынок и примерять тенденции рынка на свой бизнес, видеть риски и возможности, и уметь имплицировать это на свой бизнес. "
199,"Зашоренность, неумение анализировать рынок и адаптироваться под него "
200," Умение выстраивать архитектуру системы, и отслеживать изменения в этом поле, живая система, один раз отстроить мало. Например, в любой момент может понадобиться переносить сервера из-за политической ситуации в стране. "
200,"Недальновидность в плане работы с данными, серверной архитектуры. Очень рискованная, например плохо рассчитана нагрузка, просто в одной стране с недружелюбным законодательством, неудачный софт.  "
201," Люди, которые под тобой – растут. Не задавливает людей, а делает так, чтобы у людей крылья вырастали, не микроменеджерит, не завязывает все процессы на себя, дает развивающие задачи. "
201,"Страх, что он бесполезный, поэтому никому ничего не дает и делает сам. Недоверие подчиненным, комплекс самозванца, стремится сделать так, чтобы в конце похвалили его "
202," Люди, которые под тобой – растут. Не задавливает людей, а делает так, чтобы у людей крылья вырастали, немикроменеджерит, не завязывает все процессы на себя, дает развивающие задачи. "
202,"Страх, что он бесполезный, поэтому никому ничего не дает и делает сам. Недоверие подчиненным, комплекс самозванца, стремится делать так, чтобы в конце похвалили его "
203," Умение грамотно формировать и отстаивать бюджет с учетом риска департамента и рынка. Умеет закладывать риски и ""хватает яиц"", чтобы отстоять большой бюджет, и не бежит растрачивать бюджет, если не все деньги пригодились. Надежный и добросовестный в распоряжении бюджетом, адекватные расходы. "
203,"Нерациональное использование бюджета, неумение отстоять нужды департамента, неумение увидеть финансовую картину компании целиком, недобросовестное использование средств компании.  "
204," Умение грамотно выстроить процесс найма в цифровой бизнес, умеют оценить людей с точки зрения технической подкованности. Понимают, что базово нужно для наема в их  компанию (например, тип мышления, архитектурное мышление). Готовность вкладываться на уровне собственников компании в оценку новых людей. Баланс между собственной включённостью в процесс и умение делегировать его другим. "
204,"Отсутствие компетенций по оценки технических людей в компании в процессе найма. Например, топорно подбирают по знанию определенного языка, не учитывая более важных базовых навыков, например знание алгоритмов, стиля мышления. "
205," Гибкий мозг, нужно много учить, высокий IQ"
205,"Гуманитарий, который не умеет учиться, и не готов осваивать техническую специфику  и концепты.  "
206," Ориентация на результат, ориентация на прибыль, на поглощения большей доли рынка. Людям интересно не что-то делать, а что-то сделать. "
206,"Ориентация на процесс, поддерживает процедуры и процессы.  "
207, Быстрая реакция на изменения продукта на рынке. Оперативно учитывать обратную связь от заказчика. Быстрое внедрение изменений.
207,Привычка к медленным процессам. Неумение работать в быстро меняющейся среде.  
208," Ведет за собой, инвестирует время, ресурсы, задает тренды, живет цифрой, является частью цифровой среды, является даже ее продуктом, стремиться создавать такой продукт, который будет инновацией и новым стандартом для рынка"
208,"Страус: игнорирует, отрицает, делает вид, что цифра не важна, и все это фигня, преувеличивает риски., боится.  "
209," Воспринимает неизбежные ошибки в цифровой среде как опыт. Он их не боится, он на них учится. "
209," Ищет причины ошибок в людях, или в других внешних факторах, стремится наказывать, главное найти крайнего, не стремится разобраться в ситуации.   "
210," Подбирает в команду лучших людей с рынка, тех которые лучше него, с высоким потенциалом и помогает им расти дальше, активно инвестирует в них. "
210,"Экономит на развитии и себя, и команды. Например, его нужно упрашивать выделить финансы на профильные конференции и обучение.  Не готов инвестировать в человеческий и интеллектуальный капитал. "
211," Пристально следят за цифровыми технологиями и разбирается в них. Технологии, как часть жизни. Сами понимают, как технологии работают."
211,"Не интересуется, говорят, что это ""не мое"", другие интересы. Нанимают ""умников"", а сами, скорее, организаторы. "
212," Не политизированы, готовы идти наперекор акционерам, революционеры, готовы на все, чтобы инновации появились"
212,"Функционеры, политизированы, не будут внедрять инновации наперекор среде.  "
213, Бережно интегрирует цифру. Учитывает стратегические интересы компании. 
213,"Интегрирует цифру криво, не видит общей картинки, действует несогласованно с культурой компании, не способен учитывать стратегические интересы компании.  "
214," Высокая культура работы с информацией и данными, культура внятного и доходчивого обоснования решений на основе данных, их эффективная коммуникация.  Аналитическое мышление/образование.  Понимает данные, понимает, что стоит за теми или иными выводами, откуда они берутся, как получаются, и как их интерпретировать."
214,"Низкая культура работы с информацией и данными. Преувеличивает риски на основе статистики. Воспринимает данные as is. Воспринимает выводы буквально, полагает на экспертов в интерпретации данных. Не уделяет внимание доходчивой коммуникации на основе данных.  "
215," Глубоко понимают материал, хороший математический аппарат. Могут не только организовать, но сами понимают, как это работает."
215,"Находится над схваткой, не уходит в детали и содержание. Важно, чтобы исполнитель доложил результат/иллюзию результата. С ним бесполезно обсуждать технические детали. "
216," Проектная и конструкторская специфика. Пробег из точки А в точку Б. Глубокое понимание в конкретику, учет множества параметров. Технический майндсет. Модель - производственник."
216,"Меньше деталей, более широкая, но менее глубокая экспертиза. Можешь менять блоки местами. Гуманитарный майндсет. Модель - дир. по экономике. "
217," Хорошо разбирается в технологиях, принимает решения, основываясь на понимании характера технических задач, текущего статуса и того, что необходимо, чтобы завершить процесс в срок. Хорошо оценивает профессионализм сотрудников, отслеживает реальное состояние вещей. Внимателен к конкретным результатам."
217,"Хорош в управлении людьми, но ничего не понимает в технологиях. Полагается на чужое мнение в принятии решений. "
218," Знает язык программирования, общается на нем без переводчика. Общается с инженерами и проектировщиками на одном языке."
218,Не может на одном языке говорить со своими подчиненными. ставит заведомо невыполнимые задачи. 
219," Открытость к изменениям. Готовность полностью менять бизнес-процессы, работать по-новому"
219,"Инертность. Стремление работать старыми способами, сопротивление изменениям.  "
220," Выделяет минимум 30% времени на изменения. Тратит это время на то, чтобы контентно вникнуть в проект, изучить технологии."
220,"Приходит раз в неделю на совещания, чтобы послушать статус. Контролирует процессно. "
221," Готовность жить в условиях неопределенности, когда не понятен образ конечного результата, короткий горизонт планирования, два ближайших спринта."
221,"Тратит много ресурсов на то, чтобы построить детальную дорожную карту (2-3 года), трудно отклоняется от этой карты.  "
222," ""Fail fast, fail often"". Готовность экспериментировать и быстро отказываться от того, что не получается, и идти дальше. Культура стартапа"
222,"Долгие разборы причин отклонения, попытки докрутить то, что явно не докручивается. Культура министерства: задумал, надо сделать "
223," Большая brain capacity. Способность быстро погрузиться в интеллектуальную проблему, и структурировать ее. "
223,Недостаточно развитое концептуальное и аналитическое мышление 
224," Прибегает, быстро разбирается, делает MVP, а дальше устает, теряет интерес, сдувается. Постоянно в поиске нового челенджа "
224,"Умение монотонно следовать рутине, поддерживать операционную деятельность на стабильно высоком уровне "
225," Смелость, готовность инвестировать в цифровые практики (в условиях когда не всегда можно спрогнозировать возврат инвестиций)."
225,"Фокус внимания в испробованном, привычном, а не в цифре. (Готов инвестировать в то, чему доверяет и с чем ценностно согласен, а цифра - что-то непонятное и не близкое) "
226," Готовность идти в  реальный научный эксперимент при разработке. Серьезное, не хайповое отношение к теме. Готовность вложиться в исследование."
226,"Попытка сделать ""муляж"", ""изобразить"" цифру. Использовать как возможность для продвижения и маркетинга. Спекуляция цифрой. "
227," Технократичность 1: рациональность, расчет."
227,"Субъективный, руководствующийся собственными предпочтениями и ценностями, пристрастный. "
228," Способен внедрить идеи. Структурированность (планирование, организация, поддержание процедур). Технократ."
228,"Большой объем генерируемых идей и инноваций и недостаточность процедур. Хаотичность. Цифровой энтузиаст, который не способен внедрить идею. "
229," Человек не в фокусе (Ориентация на задачу, а не на людей. Отсутствие сентиментальности при принятии решений. Особенности людей учитываются как факторы при принятии решений, но нет сопереживания конкретному человеку)."
229,"Высокая потребность в непосредственном общении, в теплом личном контакте.Вследствие чего - субъективность как очень высокая концентрация на потребностях других. "
230," Личный интерес к цифре, погруженность в тему, уверенность в цифровой среде обитания. Комфорт, когда находишься в цифровой среде. На ""ты"" с цифрой, гаджетами, соцсетями. Это естественная среда."
230,"Неуверенность, отсутствие навыка в использовании цифровой среды обитания. "
231, Data-based принятие решений. Организация системного накопления и анализа данных. Склонность принимать решения на основе анализа фактической информации.
231,Отсутствие внимания к накоплению и анализу данных. 
232, Анализ потребностей клиента.
232,"Миссионерство: я знаю, что будет полезно. "
233," Нетворкинг, построение отношений. Opinion leadership в профессиональной среде. Экспертный центр графа."
233,"Отсутствие экспертного авторитета в профессиональной среде, невозможность доносить до рынка новые идеи. "
234," Экспертная погруженность в цифровую сферу. Заинтересованность и компетентность в самом предмете: знать рынок, экспертов, ключевых игроков, понимать основные принципы работы технологий."
234,"Полностью доверять управление развитием цифровых продуктов и услуг менеджерам-профессионалам, не имея возможности проконтролировать их работу. "
